motor,pwm,pos,duration,n_points,first,last,sum,actual_n_points,actual_first,actual_last,actual_sum,n_points_match,first_abs_error,last_abs_error,sum_abs_error,max_abs_error,regression_pass,monotonic
1,-224,11258,3,21,2494,-706.333333333333,-11632.6666666667,21,2494,-706.333333333333,-11632.6666666667,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,-224,14269.5,0.2,1,2235.83333333333,2235.83333333333,2235.83333333333,1,2235.83333333333,2235.83333333333,2235.83333333333,1,0,0,0,0,1,1
1,-224,14269.5,3,21,5771.83333333333,-706.333333333333,-8354.83333333333,21,5771.83333333333,-706.333333333333,-8354.83333333333,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,-224,17281,0.2,1,5833.66666666667,5833.66666666667,5833.66666666667,1,5833.66666666667,5833.66666666667,5833.66666666667,1,0,0,0,0,1,1
1,-224,17281,3,21,9312.66666666667,-706.333333333333,-3595.16666666667,21,9312.66666666667,-706.333333333333,-3595.16666666667,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,255,0,0.2,1,11176.6666666667,11176.6666666667,11176.6666666667,1,11176.6666666667,11176.6666666667,11176.6666666667,1,0,0,0,0,1,1
1,255,0,3,21,7924.66666666667,17246.5,351502,21,7924.66666666667,17246.5,351502,1,0,0,0,0,1,1
1,255,2895.83333333333,0.2,1,14281.1666666667,14281.1666666667,14281.1666666667,1,14281.1666666667,14281.1666666667,14281.1666666667,1,0,0,0,0,1,1
1,255,2895.83333333333,3,21,11120,17246.5,356050,21,11120,17246.5,356050,1,0,0,0,0,1,1
1,255,5791.66666666667,0.2,1,16810.5,16810.5,16810.5,1,16810.5,16810.5,16810.5,1,0,0,0,0,1,1
1,255,5791.66666666667,3,21,13899.6666666667,17246.5,358829.666666667,21,13899.6666666667,17246.5,358829.666666667,1,0,0,0,0,1,1
1,255,8687.5,0.2,1,17246.5,17246.5,17246.5,1,17246.5,17246.5,17246.5,1,0,0,0,0,1,1
1,255,8687.5,3,21,16582.8333333333,17246.5,361512.833333333,21,16582.8333333333,17246.5,361512.833333333,1,0,0,0,0,1,1
1,255,11583.3333333333,0.2,1,17246.5,17246.5,17246.5,1,17246.5,17246.5,17246.5,1,0,0,0,0,1,1
1,255,11583.3333333333,3,21,17246.5,17246.5,362176.5,21,17246.5,17246.5,362176.5,1,0,0,0,0,1,1
1,255,14479.1666666667,0.2,1,17246.5,17246.5,17246.5,1,17246.5,17246.5,17246.5,1,0,0,0,0,1,1
1,255,14479.1666666667,3,21,17246.5,17246.5,362176.5,21,17246.5,17246.5,362176.5,1,0,0,0,0,1,1
1,255,17375,0.2,1,17375,17375,17375,1,17375,17375,17375,1,0,0,0,0,1,1
1,255,17375,3,21,17375,17375,364875,21,17375,17375,364875,1,0,0,0,0,1,1
1,-255,-871,0.2,1,-871,-871,-871,1,-871,-871,-871,1,0,0,0,0,1,1
1,-255,-871,3,21,-871,-871,-18291,21,-871,-871,-18291,1,0,0,0,0,1,1
1,-255,2170,0.2,1,-788.666666666667,-788.666666666667,-788.666666666667,1,-788.666666666667,-788.666666666667,-788.666666666667,1,0,0,0,0,1,1
1,-255,2170,3,21,-788.666666666667,-788.666666666667,-16562,21,-788.666666666667,-788.666666666667,-16562,1,0,0,0,0,1,1
1,-255,5211,0.2,1,-788.666666666667,-788.666666666667,-788.666666666667,1,-788.666666666667,-788.666666666667,-788.666666666667,1,0,0,0,0,1,1
1,-255,5211,3,21,-788.666666666667,-788.666666666667,-16562,21,-788.666666666667,-788.666666666667,-16562,1,0,0,0,0,1,1
